scenario,year,population_millions,population
SSP1,2077,8071.999977084523,8071999977
SSP1,2078,8037.2352825337475,8037235283
SSP1,2079,8000.675039900395,8000675040
SSP1,2080,7962.164080404978,7962164080
SSP1,2081,7921.615323642192,7921615324
SSP1,2082,7879.214934981904,7879214935
SSP1,2083,7835.217191005498,7835217191
SSP1,2084,7789.876551701404,7789876552
SSP1,2085,7743.447486416307,7743447486
SSP1,2086,7696.159955251545,7696159955
SSP1,2087,7648.146295490123,7648146295
SSP1,2088,7599.514654273254,7599514654
SSP1,2089,7550.372833644826,7550372834
SSP1,2090,7500.829025980676,7500829026
SSP1,2091,7450.970963432937,7450970963
SSP1,2092,7400.806188268233,7400806188
SSP1,2093,7350.321913558874,7350321914
SSP1,2094,7299.5054225160875,7299505423
SSP1,2095,7248.343991322313,7248343991
SSP1,2096,7196.8248232294745,7196824823
SSP1,2097,7144.9351653599415,7144935165
SSP1,2098,7092.662106297437,7092662106
SSP1,2099,7039.992916499493,7039992916
SSP1,2100,6986.914776349627,6986914776
SSP2,2010,6872.462262253336,6872462262
SSP2,2011,6946.287480828077,6946287481
SSP2,2012,7020.955170941497,7020955171
SSP2,2013,7096.202999180432,7096202999
SSP2,2014,7171.768930687388,7171768931
SSP2,2015,7247.390464423813,7247390464
SSP2,2016,7322.805644166038,7322805644
SSP2,2017,7397.7520413828815,7397752041
SSP2,2018,7471.96756444145,7471967564
SSP2,2019,7545.19003107107,7545190031
SSP2,2020,7617.157209332072,7617157209
SSP2,2021,7687.658107106005,7687658107
SSP2,2022,7756.686703824237,7756686704
SSP2,2023,7824.288278553456,7824288279
SSP2,2024,7890.507937781649,7890507938
SSP2,2025,7955.390838685638,7955390839
SSP2,2026,8018.981592970127,8018981593
SSP2,2027,8081.322418993193,8081322419
SSP2,2028,8142.454887488866,8142454887
SSP2,2029,8202.420494365306,8202420494
SSP2,2030,8261.260808009993,8261260808
SSP2,2031,8319.012757704695,8319012758
SSP2,2032,8375.694275229178,8375694275
SSP2,2033,8431.318786556087,8431318787
SSP2,2034,8485.899701733786,8485899702
SSP2,2035,8539.450342976934,8539450343
SSP2,2036,8591.974676129477,8591974676
SSP2,2037,8643.439479124367,8643439479
SSP2,2038,8693.802435992558,8693802436
SSP2,2039,8743.020734272799,8743020734
SSP2,2040,8791.052067219991,8791052067
SSP2,2041,8837.849373428087,8837849373
SSP2,2042,8883.347864173007,8883347864
SSP2,2043,8927.478491683083,8927478492
SSP2,2044,8970.172013377276,8970172013
SSP2,2045,9011.359315264759,9011359315
SSP2,2046,9050.972791054399,9050972791
SSP2,2047,9088.95147122198,9088951471
SSP2,2048,9125.235811388426,9125235811
SSP2,2049,9159.766483494695,9159766483
SSP2,2050,9192.484017474826,9192484017
SSP2,2051,9223.348278891755,9223348279
SSP2,2052,9252.396636705405,9252396637
SSP2,2053,9279.685523818089,9279685524
SSP2,2054,9305.27150598108,9305271506
SSP2,2055,9329.21131770831,9329211318
SSP2,2056,9351.561246826259,9351561247
SSP2,2057,9372.376642210598,9372376642
SSP2,2058,9391.712762693562,9391712763
SSP2,2059,9409.624791670109,9409624792
SSP2,2060,9426.167872399026,9426167872
SSP2,2061,9441.394852619207,9441394853
SSP2,2062,9455.349373755484,9455349374
SSP2,2063,9468.072558936168,9468072559
SSP2,2064,9479.605657397118,9479605657
SSP2,2065,9489.990009241039,9489990009
SSP2,2066,9499.262394046173,9499262394
SSP2,2067,9507.441867232305,9507441867
SSP2,2068,9514.543394159946,9514543394
SSP2,2069,9520.581598570745,9520581599
SSP2,2070,9525.571250537461,9525571251
SSP2,2071,9529.5230964523,9529523096
SSP2,2072,9532.431829977928,9532431830
SSP2,2073,9534.288056516585,9534288057
SSP2,2074,9535.082440556664,9535082441
SSP2,2075,9534.805755256784,9534805755
SSP2,2076,9533.44528593297,9533445286
SSP2,2077,9530.974959620773,9530974960
SSP2,2078,9527.365486212304,9527365486
SSP2,2079,9522.587474060078,9522587474
SSP2,2080,9516.611671101236,9516611671
SSP2,2081,9509.4316900344,9509431690
SSP2,2082,9501.133929903843,9501133930
SSP2,2083,9491.82790740735,9491827907
SSP2,2084,9481.623117603373,9481623118
SSP2,2085,9470.629109604075,9470629110
SSP2,2086,9458.94785699189,9458947857
SSP2,2087,9446.650751746141,9446650752
SSP2,2088,9433.801775845308,9433801776
SSP2,2089,9420.464687871961,9420464688
SSP2,2090,9406.703367661368,9406703368
SSP2,2091,9392.569207805593,9392569208
SSP2,2092,9378.064087951545,9378064088
SSP2,2093,9363.177415483773,9363177415
SSP2,2094,9347.898575585195,9347898576
SSP2,2095,9332.21694173211,9332216942
SSP2,2096,9316.121893692563,9316121894
SSP2,2097,9299.602773400049,9299602773
SSP2,2098,9282.64899448586,9282648994
SSP2,2099,9265.24983306047,9265249833
SSP2,2100,9247.394668714476,9247394669
