scenario,year,gdp_billion_ppp_2010
SSP3,2041,189825.7319140546
SSP3,2042,192361.45221879997
SSP3,2043,194824.15724911526
SSP3,2044,197217.42001723728
SSP3,2045,199544.9701391485
SSP3,2046,201817.53313734414
SSP3,2047,204033.23187368596
SSP3,2048,206196.45430748063
SSP3,2049,208311.63095428
SSP3,2050,210383.21287989602
SSP3,2051,212463.45318633204
SSP3,2052,214514.7634251052
SSP3,2053,216544.17206086253
SSP3,2054,218558.65650148972
SSP3,2055,220565.12477520056
SSP3,2056,222605.30045205602
SSP3,2057,224648.20165187324
SSP3,2058,226700.71607148615
SSP3,2059,228769.6171384264
SSP3,2060,230861.55083538883
SSP3,2061,233005.1820353457
SSP3,2062,235174.77317424314
SSP3,2063,237369.66199993045
SSP3,2064,239589.01181539972
SSP3,2065,241831.80419426825
SSP3,2066,244101.00393618908
SSP3,2067,246389.37944256366
SSP3,2068,248695.8130879719
SSP3,2069,251019.00256664146
SSP3,2070,253357.4645047917
SSP3,2071,255781.51685037577
SSP3,2072,258227.30395124896
SSP3,2073,260695.507592683
SSP3,2074,263186.637983651
SSP3,2075,265701.0455352672
SSP3,2076,268250.96157200553
SSP3,2077,270823.385727847
SSP3,2078,273419.04022818233
SSP3,2079,276038.5841644631
SSP3,2080,278682.63689365576
SSP3,2081,281262.8964812239
SSP3,2082,283868.6504797915
SSP3,2083,286500.1857260991
SSP3,2084,289157.86685678933
SSP3,2085,291842.17373811227
SSP3,2086,294570.64301609446
SSP3,2087,297324.0115282415
SSP3,2088,300103.2762049709
SSP3,2089,302909.7498291616
SSP3,2090,305745.1209406545
SSP3,2091,308628.7621862462
SSP3,2092,311544.85267183353
SSP3,2093,314497.1555187322
SSP3,2094,317490.105569311
SSP3,2095,320528.89196774893
SSP3,2096,323635.3213803274
SSP3,2097,326801.4989608543
SSP3,2098,330035.46987279993
SSP3,2099,333346.43090807536
SSP3,2100,336744.84591349936
SSP4,2010,77476.36981371172
SSP4,2011,81653.21652435539
SSP4,2012,85059.66884157747
SSP4,2013,88609.10339005744
SSP4,2014,92295.63527929505
SSP4,2015,96113.46469320443
SSP4,2016,99895.31165031677
SSP4,2017,102655.43291899972
SSP4,2018,107761.06890952772
SSP4,2019,112264.61001875471
SSP4,2020,116878.47822154559
SSP4,2021,121584.1138265332
SSP4,2022,126371.32381529009
SSP4,2023,131226.6654661005
SSP4,2024,136137.45995425823
SSP4,2025,141091.7729219296
SSP4,2026,146075.27307704324
SSP4,2027,151078.36155823196
SSP4,2028,156090.08154889115
SSP4,2029,161100.05227089947
SSP4,2030,166098.43633679108
SSP4,2031,171172.5359738053
SSP4,2032,176223.8538162924
SSP4,2033,181244.06057158136
SSP4,2034,186225.2760620206
SSP4,2035,191160.04424060398
SSP4,2036,196043.98124277627
SSP4,2037,200867.30690305485
SSP4,2038,205622.90769827878
SSP4,2039,210304.00010362518
SSP4,2040,214904.108988021
SSP4,2041,219406.1643105344
SSP4,2042,223823.05216512515
SSP4,2043,228157.4263302904
SSP4,2044,232412.170651866
SSP4,2045,236590.38398785001
SSP4,2046,240710.39500249815
SSP4,2047,244761.59111112717
SSP4,2048,248747.50796711637
SSP4,2049,252671.81916983097
SSP4,2050,256538.31971877045
SSP4,2051,260395.03025391328
SSP4,2052,264203.48835339316
SSP4,2053,267966.6122281959
SSP4,2054,271687.3996185894
SSP4,2055,275368.915799528
SSP4,2056,279031.2278654113
SSP4,2057,282660.2315817748
SSP4,2058,286258.8490391132
SSP4,2059,289830.01354308205
SSP4,2060,293376.6603676748
SSP4,2061,296905.9177321996
SSP4,2062,300409.6666408074
SSP4,2063,303884.69798525446
SSP4,2064,307327.77303639654
SSP4,2065,310735.61558461364
SSP4,2066,314096.5045187245
SSP4,2067,317414.48818318
SSP4,2068,320686.1273766685
SSP4,2069,323907.91787635995
SSP4,2070,327076.2914956813
SSP4,2071,330260.6393635475
SSP4,2072,333398.9644126986
SSP4,2073,336495.4804709801
SSP4,2074,339554.32484153734
SSP4,2075,342579.55816933874
SSP4,2076,345565.0260093291
SSP4,2077,348524.74029711995
SSP4,2078,351463.2763693891
SSP4,2079,354385.1773120094
SSP4,2080,357294.95844764146
SSP4,2081,360017.4404812577
